DATE,AKNGSP
1997-01-01,25859.1
1998-01-01,24387.8
1999-01-01,24920.4
2000-01-01,26934.0
2001-01-01,28660.9
2002-01-01,29884.5
2003-01-01,32115.8
2004-01-01,35389.5
2005-01-01,40459.9
2006-01-01,44951.7
2007-01-01,49456.4
2008-01-01,55246.7
2009-01-01,50165.9
2010-01-01,53654.0
2011-01-01,56912.3
2012-01-01,58320.7
2013-01-01,57533.0
2014-01-01,56587.4
2015-01-01,51574.2
2016-01-01,51121.8
2017-01-01,53550.9
2018-01-01,54762.0
2019-01-01,54469.9
2020-01-01,51261.5
2021-01-01,58646.0
2022-01-01,65698.8
2023-01-01,67337.4
