DATE,ALNGSP
1997-01-01,105381.4
1998-01-01,110838.8
1999-01-01,116514.3
2000-01-01,120522.6
2001-01-01,123534.5
2002-01-01,128380.9
2003-01-01,135212.6
2004-01-01,148379.1
2005-01-01,158677.3
2006-01-01,166048.2
2007-01-01,172247.0
2008-01-01,174665.6
2009-01-01,170876.5
2010-01-01,177510.7
2011-01-01,182896.7
2012-01-01,188280.7
2013-01-01,193981.5
2014-01-01,197064.4
2015-01-01,203113.3
2016-01-01,208824.3
2017-01-01,216615.5
2018-01-01,226263.8
2019-01-01,234526.4
2020-01-01,235118.3
2021-01-01,257986.5
2022-01-01,281569.0
2023-01-01,300151.9
