DATE,ARNGSP
1997-01-01,59925.0
1998-01-01,62852.0
1999-01-01,67279.0
2000-01-01,69176.3
2001-01-01,71099.6
2002-01-01,74453.1
2003-01-01,79009.7
2004-01-01,85928.6
2005-01-01,91133.4
2006-01-01,96073.7
2007-01-01,98325.0
2008-01-01,100206.7
2009-01-01,97783.9
2010-01-01,101699.3
2011-01-01,105697.6
2012-01-01,108836.0
2013-01-01,114021.1
2014-01-01,117388.7
2015-01-01,118573.6
2016-01-01,120987.4
2017-01-01,123882.6
2018-01-01,129213.8
2019-01-01,132637.2
2020-01-01,135884.5
2021-01-01,151931.9
2022-01-01,165989.3
2023-01-01,176240.1
