DATE,CANGSP
1997-01-01,1071117.0
1998-01-01,1147520.4
1999-01-01,1241899.7
2000-01-01,1356975.4
2001-01-01,1375761.3
2002-01-01,1418429.6
2003-01-01,1497918.7
2004-01-01,1588177.4
2005-01-01,1698560.4
2006-01-01,1812210.0
2007-01-01,1898902.0
2008-01-01,1944695.3
2009-01-01,1890165.9
2010-01-01,1954092.7
2011-01-01,2023500.0
2012-01-01,2113096.4
2013-01-01,2220389.9
2014-01-01,2335286.5
2015-01-01,2473555.9
2016-01-01,2569634.0
2017-01-01,2730973.9
2018-01-01,2895101.0
2019-01-01,3052645.2
2020-01-01,3007187.7
