DATE,DCNGSP
1997-01-01,52581.6
1998-01-01,54877.4
1999-01-01,58948.8
2000-01-01,61267.7
2001-01-01,65620.0
2002-01-01,70078.0
2003-01-01,74047.0
2004-01-01,80600.7
2005-01-01,85414.5
2006-01-01,88350.9
2007-01-01,94013.8
2008-01-01,99240.4
2009-01-01,100430.1
2010-01-01,106128.6
2011-01-01,109953.9
2012-01-01,112512.7
2013-01-01,114832.7
2014-01-01,119998.0
2015-01-01,124753.6
2016-01-01,129933.5
2017-01-01,134298.8
2018-01-01,141240.2
2019-01-01,145171.0
2020-01-01,146935.3
2021-01-01,156139.9
2022-01-01,165060.5
2023-01-01,174796.1
