DATE,FLNGSP
1997-01-01,401744.2
1998-01-01,428595.6
1999-01-01,457607.0
2000-01-01,490094.4
2001-01-01,519140.7
2002-01-01,553359.9
2003-01-01,590284.8
2004-01-01,647041.8
2005-01-01,704890.3
2006-01-01,749925.0
2007-01-01,781947.3
2008-01-01,767357.8
2009-01-01,739322.4
2010-01-01,752998.4
2011-01-01,761043.1
2012-01-01,784545.9
2013-01-01,819679.8
2014-01-01,860112.6
2015-01-01,918464.3
2016-01-01,964500.8
2017-01-01,1014866.9
2018-01-01,1072085.6
2019-01-01,1127988.6
2020-01-01,1140133.0
2021-01-01,1292391.3
2022-01-01,1439065.0
2023-01-01,1579503.1
