DATE,GANGSP
1997-01-01,242371.9
1998-01-01,265146.4
1999-01-01,289048.9
2000-01-01,305323.7
2001-01-01,316872.7
2002-01-01,326017.9
2003-01-01,339540.5
2004-01-01,364530.1
2005-01-01,388707.2
2006-01-01,405664.2
2007-01-01,419384.8
2008-01-01,416303.5
2009-01-01,409876.2
2010-01-01,419013.1
2011-01-01,433137.1
2012-01-01,449375.6
2013-01-01,467559.5
2014-01-01,493370.3
2015-01-01,525516.8
2016-01-01,554903.2
2017-01-01,583543.3
2018-01-01,612803.4
2019-01-01,646939.0
2020-01-01,637930.6
2021-01-01,701606.1
2022-01-01,767377.6
2023-01-01,805397.2
