DATE,HINGSP
1997-01-01,37701.7
1998-01-01,37503.0
1999-01-01,38970.4
2000-01-01,41089.4
2001-01-01,42500.2
2002-01-01,44949.5
2003-01-01,48420.7
2004-01-01,52625.7
2005-01-01,57211.8
2006-01-01,60848.0
2007-01-01,64106.0
2008-01-01,65545.5
2009-01-01,64464.3
2010-01-01,66739.3
2011-01-01,68801.1
2012-01-01,71645.6
2013-01-01,74598.5
2014-01-01,77043.0
2015-01-01,81410.2
2016-01-01,84287.2
2017-01-01,87436.4
2018-01-01,90933.5
2019-01-01,93356.2
2020-01-01,84615.2
2021-01-01,93089.8
2022-01-01,101082.6
2023-01-01,108022.8
