DATE,IDNGSP
1997-01-01,29699.5
1998-01-01,31352.7
1999-01-01,34512.8
2000-01-01,38344.1
2001-01-01,37740.9
2002-01-01,38990.7
2003-01-01,40778.6
2004-01-01,44732.9
2005-01-01,48805.1
2006-01-01,51099.0
2007-01-01,53712.4
2008-01-01,56203.6
2009-01-01,54507.9
2010-01-01,56086.2
2011-01-01,57418.2
2012-01-01,57933.7
2013-01-01,61712.6
2014-01-01,64501.7
2015-01-01,66064.9
2016-01-01,69185.2
2017-01-01,72935.1
2018-01-01,79072.4
2019-01-01,84550.2
2020-01-01,88187.7
2021-01-01,98792.8
2022-01-01,110871.1
2023-01-01,118790.7
