DATE,ILNGSP
1997-01-01,416015.1
1998-01-01,436533.4
1999-01-01,459971.6
2000-01-01,486089.7
2001-01-01,499618.4
2002-01-01,511485.9
2003-01-01,528577.0
2004-01-01,560079.8
2005-01-01,589153.7
2006-01-01,624068.1
2007-01-01,649307.4
2008-01-01,649677.3
2009-01-01,645843.2
2010-01-01,663929.0
2011-01-01,691805.5
2012-01-01,725478.0
2013-01-01,742890.9
2014-01-01,772291.7
2015-01-01,802592.0
2016-01-01,813561.6
2017-01-01,832826.8
2018-01-01,871024.2
2019-01-01,895800.0
2020-01-01,860747.5
2021-01-01,943993.3
2022-01-01,1025667.2
2023-01-01,1082968.0
