DATE,KSNGSP
1997-01-01,74643.2
1998-01-01,78242.3
1999-01-01,81609.7
2000-01-01,85990.5
2001-01-01,88869.7
2002-01-01,91359.0
2003-01-01,95236.3
2004-01-01,98913.7
2005-01-01,105343.9
2006-01-01,113831.8
2007-01-01,123608.9
2008-01-01,129223.2
2009-01-01,126049.7
2010-01-01,129235.7
2011-01-01,136747.1
2012-01-01,141812.1
2013-01-01,144999.3
2014-01-01,150276.1
2015-01-01,155699.0
2016-01-01,162144.5
2017-01-01,166273.6
2018-01-01,173373.0
2019-01-01,176917.7
2020-01-01,177720.6
2021-01-01,191831.7
2022-01-01,209326.1
2023-01-01,226012.3
