DATE,KYNGSP
1997-01-01,104878.1
1998-01-01,110020.1
1999-01-01,115592.7
2000-01-01,114549.6
2001-01-01,117767.9
2002-01-01,122731.2
2003-01-01,128289.6
2004-01-01,135694.5
2005-01-01,144914.9
2006-01-01,153009.8
2007-01-01,156900.0
2008-01-01,160700.2
2009-01-01,157440.1
2010-01-01,166656.3
2011-01-01,171238.1
2012-01-01,178370.6
2013-01-01,184920.6
2014-01-01,188326.4
2015-01-01,194621.2
2016-01-01,197944.8
2017-01-01,203564.0
2018-01-01,210509.1
2019-01-01,220683.3
2020-01-01,218755.2
2021-01-01,237925.9
2022-01-01,258981.2
2023-01-01,277746.7
