DATE,MINGSP
1997-01-01,299832.7
1998-01-01,311088.2
1999-01-01,337150.2
2000-01-01,351879.5
2001-01-01,349127.5
2002-01-01,363372.1
2003-01-01,376123.8
2004-01-01,388764.6
2005-01-01,402828.8
2006-01-01,402537.3
2007-01-01,410613.0
2008-01-01,391633.6
2009-01-01,371707.0
2010-01-01,393179.6
2011-01-01,408354.1
2012-01-01,426141.1
2013-01-01,441470.8
2014-01-01,456123.5
2015-01-01,479222.7
2016-01-01,494752.5
2017-01-01,505101.5
2018-01-01,525240.8
2019-01-01,536975.6
2020-01-01,530231.1
2021-01-01,576502.2
2022-01-01,622562.7
2023-01-01,658992.3
