DATE,MNNGSP
1997-01-01,157345.9
1998-01-01,167867.4
1999-01-01,176780.4
2000-01-01,192389.5
2001-01-01,196869.4
2002-01-01,204061.1
2003-01-01,215975.1
2004-01-01,231949.4
2005-01-01,244635.4
2006-01-01,252357.6
2007-01-01,261250.7
2008-01-01,268771.5
2009-01-01,262628.8
2010-01-01,274649.2
2011-01-01,287070.8
2012-01-01,298641.4
2013-01-01,311752.1
2014-01-01,324701.5
2015-01-01,336762.0
2016-01-01,345248.8
2017-01-01,354721.9
2018-01-01,372439.2
2019-01-01,383961.6
2020-01-01,379438.7
2021-01-01,413063.1
2022-01-01,448032.4
2023-01-01,471820.1
