DATE,MTNGSP
1997-01-01,19301.7
1998-01-01,20414.4
1999-01-01,20815.1
2000-01-01,21935.4
2001-01-01,22798.0
2002-01-01,23886.0
2003-01-01,25781.1
2004-01-01,28138.8
2005-01-01,30823.7
2006-01-01,33088.0
2007-01-01,36116.1
2008-01-01,37028.0
2009-01-01,35880.0
2010-01-01,38080.3
2011-01-01,40592.3
2012-01-01,42150.2
2013-01-01,43584.0
2014-01-01,45203.8
2015-01-01,46542.4
2016-01-01,45859.4
2017-01-01,48470.5
2018-01-01,51152.1
2019-01-01,52772.5
2020-01-01,53130.7
2021-01-01,59996.7
2022-01-01,67071.9
2023-01-01,70560.0
