DATE,NCNGSP
1997-01-01,234571.9
1998-01-01,246721.8
1999-01-01,264924.3
2000-01-01,277556.1
2001-01-01,287317.1
2002-01-01,297653.0
2003-01-01,310200.3
2004-01-01,329017.7
2005-01-01,354798.5
2006-01-01,388012.1
2007-01-01,402188.3
2008-01-01,420707.2
2009-01-01,413096.8
2010-01-01,422282.2
2011-01-01,430040.1
2012-01-01,444063.2
2013-01-01,460946.4
2014-01-01,482295.7
2015-01-01,508672.4
2016-01-01,528284.3
2017-01-01,546810.1
2018-01-01,568037.3
2019-01-01,593126.9
2020-01-01,601148.7
2021-01-01,659529.3
2022-01-01,715968.3
2023-01-01,766919.0
