DATE,NHNGSP
1997-01-01,38122.5
1998-01-01,40747.7
1999-01-01,42292.4
2000-01-01,45604.9
2001-01-01,47037.3
2002-01-01,49109.6
2003-01-01,51609.7
2004-01-01,54545.7
2005-01-01,56914.6
2006-01-01,60152.7
2007-01-01,61984.8
2008-01-01,62095.3
2009-01-01,63052.2
2010-01-01,65310.8
2011-01-01,66557.3
2012-01-01,68412.0
2013-01-01,70897.4
2014-01-01,73455.1
2015-01-01,77385.8
2016-01-01,79759.7
2017-01-01,81179.6
2018-01-01,83859.4
2019-01-01,87472.0
2020-01-01,88589.4
2021-01-01,99100.0
2022-01-01,105024.6
2023-01-01,111102.3
