DATE,NJNGSP
1997-01-01,307140.9
1998-01-01,318104.0
1999-01-01,334966.4
2000-01-01,360530.4
2001-01-01,372819.2
2002-01-01,385045.6
2003-01-01,399996.5
2004-01-01,415490.8
2005-01-01,436064.4
2006-01-01,457681.5
2007-01-01,474539.6
2008-01-01,493289.4
2009-01-01,481452.7
2010-01-01,491229.0
2011-01-01,494292.8
2012-01-01,516098.2
2013-01-01,534212.1
2014-01-01,543824.1
2015-01-01,565807.7
2016-01-01,578651.4
2017-01-01,590086.7
2018-01-01,619340.2
2019-01-01,641877.6
2020-01-01,630212.7
2021-01-01,692227.3
2022-01-01,754948.2
2023-01-01,799305.5
