DATE,NMNGSP
1997-01-01,52575.6
1998-01-01,50573.1
1999-01-01,52801.9
2000-01-01,55002.2
2001-01-01,55660.2
2002-01-01,57718.3
2003-01-01,62867.9
2004-01-01,70593.4
2005-01-01,74130.9
2006-01-01,78008.2
2007-01-01,81100.3
2008-01-01,84339.7
2009-01-01,82641.3
2010-01-01,84862.6
2011-01-01,87056.0
2012-01-01,87681.0
2013-01-01,88773.3
2014-01-01,92523.4
2015-01-01,90779.4
2016-01-01,90476.0
2017-01-01,93210.1
2018-01-01,98838.2
2019-01-01,103869.2
2020-01-01,100434.5
2021-01-01,111730.6
2022-01-01,125540.6
2023-01-01,130201.6
