DATE,NYNGSP
1997-01-01,716104.7
1998-01-01,744958.9
1999-01-01,794009.5
2000-01-01,839853.0
2001-01-01,876285.2
2002-01-01,885386.2
2003-01-01,908535.2
2004-01-01,958565.3
2005-01-01,1009851.0
2006-01-01,1072271.8
2007-01-01,1116265.3
2008-01-01,1107860.2
2009-01-01,1155492.3
2010-01-01,1217748.0
2011-01-01,1245769.4
2012-01-01,1324471.3
2013-01-01,1364632.9
2014-01-01,1434606.3
2015-01-01,1498474.7
2016-01-01,1556830.0
2017-01-01,1624800.7
2018-01-01,1710665.6
2019-01-01,1793261.3
2020-01-01,1766857.4
2021-01-01,1911345.8
2022-01-01,2048402.6
2023-01-01,2152261.9
