DATE,OHNGSP
1997-01-01,343513.7
1998-01-01,361479.3
1999-01-01,375797.2
2000-01-01,391032.3
2001-01-01,395864.2
2002-01-01,411191.1
2003-01-01,425530.7
2004-01-01,447813.3
2005-01-01,470179.5
2006-01-01,482904.0
2007-01-01,497600.1
2008-01-01,500916.4
2009-01-01,484407.1
2010-01-01,500274.2
2011-01-01,525456.4
2012-01-01,543035.4
2013-01-01,566419.9
2014-01-01,597152.3
2015-01-01,615275.5
2016-01-01,627294.7
2017-01-01,652187.5
2018-01-01,672540.1
2019-01-01,703127.8
2020-01-01,692121.9
2021-01-01,759626.2
2022-01-01,825990.0
2023-01-01,872748.3
