DATE,OKNGSP
1997-01-01,79293.7
1998-01-01,81778.6
1999-01-01,84785.6
2000-01-01,91645.7
2001-01-01,97505.3
2002-01-01,99916.9
2003-01-01,106175.1
2004-01-01,114237.5
2005-01-01,125961.4
2006-01-01,138352.3
2007-01-01,146582.4
2008-01-01,161609.0
2009-01-01,147332.4
2010-01-01,155267.5
2011-01-01,167207.9
2012-01-01,175361.2
2013-01-01,184104.6
2014-01-01,197074.1
2015-01-01,187364.7
2016-01-01,182238.8
2017-01-01,192538.6
2018-01-01,204193.9
2019-01-01,205262.6
2020-01-01,191653.5
2021-01-01,217730.8
2022-01-01,242738.5
2023-01-01,254134.2
