DATE,ORNGSP
1997-01-01,101418.2
1998-01-01,105016.4
1999-01-01,107513.2
2000-01-01,117057.2
2001-01-01,117002.4
2002-01-01,120556.1
2003-01-01,126822.1
2004-01-01,136495.9
2005-01-01,143556.3
2006-01-01,153779.6
2007-01-01,159676.2
2008-01-01,164122.9
2009-01-01,159330.4
2010-01-01,163150.5
2011-01-01,169693.8
2012-01-01,173856.8
2013-01-01,178975.4
2014-01-01,187837.6
2015-01-01,200592.6
2016-01-01,211782.4
2017-01-01,225534.5
2018-01-01,238466.9
2019-01-01,248939.8
2020-01-01,251855.8
2021-01-01,275444.0
2022-01-01,297308.9
2023-01-01,316460.7
