DATE,SCNGSP
1997-01-01,97453.8
1998-01-01,103688.6
1999-01-01,110312.9
2000-01-01,115332.7
2001-01-01,119355.2
2002-01-01,124765.2
2003-01-01,131509.1
2004-01-01,136679.9
2005-01-01,145195.8
2006-01-01,153453.4
2007-01-01,162476.3
2008-01-01,164471.2
2009-01-01,162380.4
2010-01-01,166767.4
2011-01-01,172844.7
2012-01-01,178503.9
2013-01-01,186268.3
2014-01-01,195744.4
2015-01-01,207510.0
2016-01-01,217555.5
2017-01-01,224937.6
2018-01-01,236561.7
2019-01-01,248046.5
2020-01-01,249482.2
2021-01-01,271494.5
2022-01-01,297546.3
2023-01-01,322259.2
