DATE,SDNGSP
1997-01-01,19062.3
1998-01-01,20257.8
1999-01-01,21181.8
2000-01-01,22866.7
2001-01-01,23626.9
2002-01-01,26343.5
2003-01-01,27305.0
2004-01-01,29380.9
2005-01-01,31104.3
2006-01-01,32559.3
2007-01-01,35282.6
2008-01-01,36939.3
2009-01-01,36732.1
2010-01-01,38208.2
2011-01-01,42082.7
2012-01-01,44127.3
2013-01-01,45498.6
2014-01-01,47159.9
2015-01-01,48678.9
2016-01-01,49842.6
2017-01-01,51615.1
2018-01-01,53349.5
2019-01-01,55007.4
2020-01-01,56162.9
2021-01-01,62607.1
2022-01-01,68781.7
2023-01-01,72420.9
