DATE,TXNGSP
1997-01-01,610157.3
1998-01-01,645142.6
1999-01-01,679870.3
2000-01-01,738677.0
2001-01-01,773375.5
2002-01-01,789817.6
2003-01-01,833342.3
2004-01-01,913444.4
2005-01-01,995252.4
2006-01-01,1103197.6
2007-01-01,1191093.1
2008-01-01,1244294.9
2009-01-01,1169607.7
2010-01-01,1245959.4
2011-01-01,1341334.4
2012-01-01,1421180.1
2013-01-01,1515195.6
2014-01-01,1579299.5
2015-01-01,1573498.4
2016-01-01,1579014.9
2017-01-01,1677110.9
2018-01-01,1809706.4
2019-01-01,1863953.8
2020-01-01,1775587.8
