DATE,WANGSP
1997-01-01,193769.5
1998-01-01,209222.5
1999-01-01,229678.9
2000-01-01,237594.0
2001-01-01,237978.2
2002-01-01,245629.8
2003-01-01,254720.2
2004-01-01,267423.9
2005-01-01,293402.0
2006-01-01,314190.8
2007-01-01,341712.3
2008-01-01,352460.7
2009-01-01,349945.4
2010-01-01,363544.2
2011-01-01,377518.8
2012-01-01,398358.5
2013-01-01,416924.1
2014-01-01,439851.2
2015-01-01,467590.6
2016-01-01,489790.2
2017-01-01,527169.4
2018-01-01,570337.8
2019-01-01,608966.4
2020-01-01,621493.2
2021-01-01,688631.9
2022-01-01,738101.4
2023-01-01,801515.1
