DATE,WINGSP
1997-01-01,153536.2
1998-01-01,163021.5
1999-01-01,172928.5
2000-01-01,180883.1
2001-01-01,188662.8
2002-01-01,195541.5
2003-01-01,203814.0
2004-01-01,216370.4
2005-01-01,226937.5
2006-01-01,237571.9
2007-01-01,245837.7
2008-01-01,246493.0
2009-01-01,246323.8
2010-01-01,256159.5
2011-01-01,265444.0
2012-01-01,276253.4
2013-01-01,283791.4
2014-01-01,296169.9
2015-01-01,308304.5
2016-01-01,315420.0
2017-01-01,321886.8
2018-01-01,335144.3
2019-01-01,347398.6
2020-01-01,343783.0
2021-01-01,369032.4
2022-01-01,396209.3
2023-01-01,413966.8
