DATE,WYNGSP
1997-01-01,14673.0
1998-01-01,14833.2
1999-01-01,15685.7
2000-01-01,17153.7
2001-01-01,18741.7
2002-01-01,19160.8
2003-01-01,21199.0
2004-01-01,23418.1
2005-01-01,27530.2
2006-01-01,32692.2
2007-01-01,36912.8
2008-01-01,42694.6
2009-01-01,36282.2
2010-01-01,37567.5
2011-01-01,39615.1
2012-01-01,38679.3
2013-01-01,39365.6
2014-01-01,40573.9
2015-01-01,38624.8
2016-01-01,36105.9
2017-01-01,37620.3
2018-01-01,39614.5
2019-01-01,39971.4
2020-01-01,36675.5
2021-01-01,42176.2
2022-01-01,49080.6
2023-01-01,50171.6
